iter	Passed	Remaining
595	2717	1842
596	2722	1837
597	2728	1834
598	2798	1873
599	2802	1868
600	2805	1862
601	2818	1863
602	2819	1856
603	2836	1859
604	2844	1857
605	2846	1850
606	2848	1844
607	2850	1837
608	2852	1831
609	2861	1829
610	2882	1834
611	2883	1828
612	2885	1821
613	2962	1862
614	2963	1855
615	2965	1848
616	2978	1848
617	2982	1843
618	2999	1846
619	3059	1875
620	3061	1868
621	3063	1861
622	3068	1856
623	3071	1850
624	3073	1844
625	3076	1837
626	3078	1831
627	3097	1835
628	3109	1833
629	3120	1832
630	3122	1826
631	3126	1820
632	3128	1813
633	3176	1833
634	3179	1827
635	3182	1821
636	3187	1816
637	3189	1809
638	3194	1804
639	3196	1798
640	3204	1794
641	3212	1791
642	3219	1787
643	3223	1781
644	3225	1775
645	3227	1768
646	3228	1761
647	3238	1759
648	3242	1753
649	3243	1746
650	3244	1739
651	3246	1732
652	3270	1737
653	3271	1730
654	3273	1724
655	3275	1717
656	3289	1717
657	3291	1710
658	3294	1704
659	3299	1699
660	3303	1694
661	3304	1687
662	3306	1680
663	3309	1674
664	3318	1671
665	3320	1665
666	3321	1658
667	3323	1651
668	3337	1651
669	3339	1644
670	3354	1644
671	3356	1638
672	3380	1642
673	3382	1635
674	3383	1629
675	3385	1622
676	3387	1616
677	3396	1612
678	3398	1606
679	3401	1600
680	3403	1594
681	3406	1588
682	3457	1604
683	3473	1604
684	3475	1598
685	3490	1597
686	3492	1591
687	3494	1584
688	3535	1595
689	3537	1589
690	3575	1598
691	3577	1592
692	3585	1588
693	3587	1581
694	3589	1575
695	3591	1568
696	3599	1564
697	3654	1581
698	3672	1581
699	3674	1574
700	3688	1573
701	3691	1566
702	3699	1562
703	3703	1557
704	3705	1550
705	3764	1567
706	3767	1561
707	3768	1554
708	3770	1547
709	3771	1540
710	3779	1536
711	3781	1529
712	3784	1523
713	3785	1516
714	3787	1509
715	3794	1504
716	3797	1498
717	3798	1491
718	3799	1484
719	3801	1478
720	3802	1471
721	3805	1465
722	3810	1459
723	3811	1453
724	3812	1446
725	3814	1439
726	3815	1432
727	3816	1426
728	3818	1419
729	3824	1414
730	3825	1407
